категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Арматура,АРМАТУРА,кл А1 А240,"Арматура гладкая А1 А240 14 , 18мм","Арматура гладкая марки А1 А240, диаметр 14 , 18мм",14,60400,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая.webp;https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая_1.webp;https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая_2.webp;https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая_3.webp;https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_рифлёная_1.webp;https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_рифлёная_2.webp;https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_рифлёная_3.webp,балашиха;арматура;кл а1 а240;14;18;гладкая;глаткая,кл А1 А240,14 ; 18,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 А240С,Арматура гладкая А1 А240С 10мм,"Арматура гладкая марки А1 А240С, диаметр 10мм",10,61100,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая.webp,балашиха;арматура;кл а1 а240с;10;гладкая;глаткая,кл А1 А240С,10,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 А240С,Арматура гладкая А1 А240С 16мм,"Арматура гладкая марки А1 А240С, диаметр 16мм",16,60400,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая.webp,балашиха;арматура;кл а1 а240с;16;гладкая;глаткая,кл А1 А240С,16,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 мотки А240,"Арматура гладкая А1 мотки А240 6 , 8мм","Арматура гладкая марки А1 мотки А240, диаметр 6 , 8мм",6,62800,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая.webp,балашиха;арматура;кл а1 мотки а240;6;8;гладкая;глаткая,кл А1 мотки А240,6 ; 8,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 мотки Ст3,Арматура гладкая А1 мотки Ст3 12мм,"Арматура гладкая марки А1 мотки Ст3, диаметр 12мм",12,61500,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая.webp,балашиха;арматура;кл а1 мотки ст3;12;гладкая;глаткая,кл А1 мотки Ст3,12,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 Ст3,Арматура гладкая А1 Ст3 12мм,"Арматура гладкая марки А1 Ст3, диаметр 12мм",12,60800,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая.webp,балашиха;арматура;кл а1 ст3;12;гладкая;глаткая,кл А1 Ст3,12,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 Ст3 6м,"Арматура гладкая А1 Ст3 6м 6 , 8мм","Арматура гладкая марки А1 Ст3 6м, диаметр 6 , 8мм",6,62100,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая.webp,балашиха;арматура;кл а1 ст3 6м;6;8;гладкая;глаткая,кл А1 Ст3 6м,6 ; 8,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А1 Ст3 6м,Арматура гладкая А1 Ст3 6м 12мм,"Арматура гладкая марки А1 Ст3 6м, диаметр 12мм",12,60800,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_гладкая.webp,балашиха;арматура;кл а1 ст3 6м;12;гладкая;глаткая,кл А1 Ст3 6м,12,ГОСТ 34028-2016,т
Арматура,АРМАТУРА,кл А3 35ГС,Арматура рифленая А3 6мм 35ГС,"Арматура рифленая А3 6мм 35ГС, марка стали кл А3 35ГС",6,65400,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_рифлёная.webp,балашиха;арматура;кл а3 35гс;6;рифленая;а3;6мм;35гс,кл А3 35ГС,6,ГОСТ 5781-82,т
Арматура,АРМАТУРА,кл А3 35ГС,Арматура рифленая А3 10мм 35ГС,"Арматура рифленая А3 10мм 35ГС, марка стали кл А3 35ГС",10,63900,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/Арматура/АРМАТУРА/арматура_рифлёная.webp,балашиха;арматура;кл а3 35гс;10;рифленая;а3;10мм;35гс,кл А3 35ГС,10,ГОСТ 5781-82,т
