категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
Чёрный металлопрокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3,Лист г/к 1.8 мм Ст3,Лист г/к 1.8 мм Ст3,1.8,57990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3;1;8;лист;г/к;1.8;мм,Ст3,1.8,,т
Чёрный металлопрокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3,Лист г/к 3 мм Ст3,Лист г/к 3 мм Ст3,3,56990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3;3;лист;г/к;мм,Ст3,3,,т
Чёрный металлопрокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,Лист г/к 1.8 мм Ст3 (необрезанный),Лист г/к 1.8 мм Ст3 (необрезанный),1.8,57990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;1;8;лист;г/к;1.8;мм;ст3;необрезанный,Ст3 н/обр,1.8,,т
Чёрный металлопрокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,Лист г/к 1.8 мм Ст3 (необрезанный),Лист г/к 1.8 мм Ст3 (необрезанный),1.8,59490,теор.т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;1;8;лист;г/к;1.8;мм;ст3;необрезанный,Ст3 н/обр,1.8,,теор.т
Чёрный металлопрокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,Лист г/к 7 мм Ст3 (необрезанный),Лист г/к 7 мм Ст3 (необрезанный),7,52490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;7;лист;г/к;мм;ст3;необрезанный,Ст3 н/обр,7,,т
Чёрный металлопрокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,Лист г/к 7 мм Ст3 (необрезанный),Лист г/к 7 мм Ст3 (необрезанный),7,55490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;7;лист;г/к;мм;ст3;необрезанный,Ст3 н/обр,7,,т
Чёрный металлопрокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 неконд,Лист г/к 2.5 мм Ст3 неконд,Лист г/к 2.5 мм Ст3 неконд,2.5,9000,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 неконд;2;5;лист;г/к;2.5;мм;ст3;неконд,Ст3 неконд,2.5,,т
Чёрный металлопрокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 обр,Лист г/к 16 мм Ст3 (обрезанный),Лист г/к 16 мм Ст3 (обрезанный),16,52990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 обр;16;лист;г/к;мм;ст3;обрезанный,Ст3 обр,16,,т
Чёрный металлопрокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 обр УЗК,Лист г/к 10 мм Ст3 обр УЗК,Лист г/к 10 мм Ст3 обр УЗК,10,78990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 обр узк;10;лист;г/к;мм;ст3;обр;узк,Ст3 обр УЗК,10,,т
Чёрный металлопрокат,СТАЛЬ ЛИСТОВАЯ Г/К ОБЫЧ КАЧЕСТВА,Ст3 н/обр,Лист г/к 1.5 мм Ст3 (необрезанный),Лист г/к 1.5 мм Ст3 (необрезанный),1.5,64990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/LISTOVOI_PROKAT/STAL_LISTOVAYA_GK_OBYCH_KACHESTVA/img.png,крепеж;сталь листовая г/к обыч качества;ст3 н/обр;1;5;лист;г/к;1.5;мм;ст3;необрезанный,Ст3 н/обр,1.5,,т
