категория,подкатегория,марка,название,описание,диаметр,цена,единица,в_наличии,рейтинг,отзывы,фото,ключевые_слова,spec_Марка,spec_Размер,spec_ГОСТ,spec_Единица
"Сортовой прокат",АРМАТУРА,"кл А1 А240","АРМАТУРА 8 А1 А240","АРМАТУРА марки кл А1 А240, размер 8",8,51790,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/АРМАТУРА/img.jpg,"профнастил;арматура;кл а1 а240;8","кл А1 А240",8,"ГОСТ 34028-2016",т
"Сортовой прокат",АРМАТУРА,"кл А1 А240","АРМАТУРА 14 А1 А240","АРМАТУРА марки кл А1 А240, размер 14 ; 18; 20",14,47990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/АРМАТУРА/img.jpg,"профнастил;арматура;кл а1 а240;14;18;20","кл А1 А240","14 ; 18; 20","ГОСТ 34028-2016",т
"Сортовой прокат",АРМАТУРА,"кл А1 А240","АРМАТУРА 22 А1 А240","АРМАТУРА марки кл А1 А240, размер 22",22,47490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/АРМАТУРА/img.jpg,"профнастил;арматура;кл а1 а240;22","кл А1 А240",22,"ГОСТ 34028-2016",т
"Сортовой прокат",АРМАТУРА,"кл А1 А240 6м","АРМАТУРА 8 А1 А240 6м","АРМАТУРА марки кл А1 А240 6м, размер 8",8,51990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/АРМАТУРА/img.jpg,"профнастил;арматура;кл а1 а240 6м;8","кл А1 А240 6м",8,"ГОСТ 34028-2016",т
"Сортовой прокат",АРМАТУРА,"кл А1 А240С","АРМАТУРА 10 А1 А240С","АРМАТУРА марки кл А1 А240С, размер 10",10,51490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/АРМАТУРА/img.jpg,"профнастил;арматура;кл а1 а240с;10","кл А1 А240С",10,"ГОСТ 34028-2016",т
"Сортовой прокат",АРМАТУРА,"кл А1 А240С","АРМАТУРА 16 А1 А240С","АРМАТУРА марки кл А1 А240С, размер 16",16,48490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/АРМАТУРА/img.jpg,"профнастил;арматура;кл а1 а240с;16","кл А1 А240С",16,"ГОСТ 34028-2016",т
"Сортовой прокат",АРМАТУРА,"кл А1 А240С 6м","АРМАТУРА 10 А1 А240С 6м","АРМАТУРА марки кл А1 А240С 6м, размер 10",10,51490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/АРМАТУРА/img.jpg,"профнастил;арматура;кл а1 а240с 6м;10","кл А1 А240С 6м",10,"ГОСТ 34028-2016",т
"Сортовой прокат",АРМАТУРА,"кл А1 мотки А240","АРМАТУРА 8 А1 мотки А240","АРМАТУРА марки кл А1 мотки А240, размер 8",8,50990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/АРМАТУРА/img.jpg,"профнастил;арматура;кл а1 мотки а240;8","кл А1 мотки А240",8,"ГОСТ 34028-2016",т
"Сортовой прокат",АРМАТУРА,"кл А1 мотки Ст3","АРМАТУРА 12 А1 мотки Ст3","АРМАТУРА марки кл А1 мотки Ст3, размер 12",12,50490,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/АРМАТУРА/img.jpg,"профнастил;арматура;кл а1 мотки ст3;12","кл А1 мотки Ст3",12,"ГОСТ 34028-2016",т
"Сортовой прокат",АРМАТУРА,"кл А1 Ст3","АРМАТУРА 12 А1 Ст3","АРМАТУРА марки кл А1 Ст3, размер 12",12,48990,т,1,0,0,https://www.kavstal.ru/public/assets/images/products/СОРТОВОИ_ПРОКАТ/АРМАТУРА/img.jpg,"профнастил;арматура;кл а1 ст3;12","кл А1 Ст3",12,"ГОСТ 34028-2016",т
